Entity,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number)
Bermuda,BMU,2015,0,0,0,0,0,0,0,0,0
Bermuda,BMU,2016,0,0,0,0,0,0,0,0,0
Bermuda,BMU,2017,0,0,0,0,0,0,0,0,0
Bermuda,BMU,2018,0,0,0,0,0,0,0,0,0
Bermuda,BMU,2019,0,0,0,0,0,0,0,0,0
Burundi,BDI,2015,5099,2099,564,5498,130,344,257,4094,243
Burundi,BDI,2016,4629,1919,508,5028,116,343,257,3743,218
Burundi,BDI,2017,4368,1820,482,4768,107,347,261,3549,202
Burundi,BDI,2018,4596,1907,495,4995,114,348,263,3717,212
Burundi,BDI,2019,4493,1868,484,4894,112,348,265,3640,207
Luxembourg,LUX,2015,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,2016,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,2017,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,2018,0,0,0,0,0,0,0,0,0
Luxembourg,LUX,2019,0,0,0,0,0,0,0,0,0
Madagascar,MDG,2015,11305,4464,2333,11819,60,1016,791,9145,647
Madagascar,MDG,2016,10642,4217,2192,11158,56,979,765,8632,589
Madagascar,MDG,2017,10338,4103,2099,10848,54,950,744,8390,553
Madagascar,MDG,2018,9593,3818,1943,10088,50,894,702,7798,500
Madagascar,MDG,2019,8899,3556,1818,9395,45,855,673,7260,454
Malawi,MWI,2015,2431,1117,458,2920,11,164,132,2167,144
Malawi,MWI,2016,2289,1059,449,2766,10,169,135,2052,132
Malawi,MWI,2017,2207,1026,439,2681,10,175,141,1988,125
Malawi,MWI,2018,2052,954,397,2490,9,156,126,1845,115
Malawi,MWI,2019,1877,875,365,2283,8,146,119,1691,104
Monaco,MCO,2015,0,0,0,0,0,0,0,0,0
Monaco,MCO,2016,0,0,0,0,0,0,0,0,0
Monaco,MCO,2017,0,0,0,0,0,0,0,0,0
Monaco,MCO,2018,0,0,0,0,0,0,0,0,0
Monaco,MCO,2019,0,0,0,0,0,0,0,0,0
Mozambique,MOZ,2015,3972,1686,1153,4521,36,179,136,3382,262
Mozambique,MOZ,2016,3638,1549,1064,4152,32,166,127,3105,233
Mozambique,MOZ,2017,3416,1459,1016,3910,28,160,124,2920,211
Mozambique,MOZ,2018,3117,1335,928,3573,25,146,113,2666,188
Mozambique,MOZ,2019,3179,1361,915,3643,27,139,108,2716,190
Norway,NOR,2015,0,0,0,0,0,0,0,0,0
Norway,NOR,2016,0,0,0,0,0,0,0,0,0
Norway,NOR,2017,0,0,0,0,0,0,0,0,0
Norway,NOR,2018,0,0,0,0,0,0,0,0,0
Norway,NOR,2019,0,0,0,0,0,0,0,0,0
Somalia,SOM,2015,7300,2877,2296,7582,64,413,433,5673,725
Somalia,SOM,2016,7835,3090,2469,8140,70,437,459,6095,777
Somalia,SOM,2017,7554,2993,2399,7887,68,435,460,5907,749
Somalia,SOM,2018,7581,3003,2372,7908,71,429,454,5927,751
Somalia,SOM,2019,7907,3125,2443,8235,76,436,459,6175,783
Switzerland,CHE,2015,1,0,1,0,0,2,1,0,0
Switzerland,CHE,2016,1,0,1,0,0,1,1,0,0
Switzerland,CHE,2017,1,0,1,0,0,1,1,0,0
Switzerland,CHE,2018,1,0,1,0,0,1,1,0,0
Switzerland,CHE,2019,1,0,1,0,0,1,1,0,0
