Country,Code,Year,Deaths - Cause: All causes - Risk: Unsafe water source - Sex: Both - Age: All Ages (Number)
Afghanistan,AFG,2015,4796
Afghanistan,AFG,2016,4678
Afghanistan,AFG,2017,4632
Afghanistan,AFG,2018,3994
Afghanistan,AFG,2019,3751
African Region (WHO),,2015,560251
African Region (WHO),,2016,549702
African Region (WHO),,2017,541333
African Region (WHO),,2018,513655
African Region (WHO),,2019,492202
Albania,ALB,2015,4
Albania,ALB,2016,4
Albania,ALB,2017,4
Albania,ALB,2018,4
Albania,ALB,2019,4
Algeria,DZA,2015,319
Algeria,DZA,2016,310
Algeria,DZA,2017,299
Algeria,DZA,2018,287
Algeria,DZA,2019,277
American Samoa,ASM,2015,2
American Samoa,ASM,2016,2
American Samoa,ASM,2017,2
American Samoa,ASM,2018,2
American Samoa,ASM,2019,2
Andorra,AND,2015,0
Andorra,AND,2016,0
Andorra,AND,2017,0
Andorra,AND,2018,0
Andorra,AND,2019,0
Angola,AGO,2015,14786
Angola,AGO,2016,13587
Angola,AGO,2017,13022
Angola,AGO,2018,11736
Angola,AGO,2019,11143
Antigua and Barbuda,ATG,2015,1
Antigua and Barbuda,ATG,2016,1
Antigua and Barbuda,ATG,2017,1
Antigua and Barbuda,ATG,2018,1
Antigua and Barbuda,ATG,2019,1
Argentina,ARG,2015,341
Argentina,ARG,2016,345
Argentina,ARG,2017,334
Argentina,ARG,2018,320
Argentina,ARG,2019,315
Armenia,ARM,2015,3
Armenia,ARM,2016,3
Armenia,ARM,2017,3
Armenia,ARM,2018,3
Armenia,ARM,2019,3
Australia,AUS,2015,40
Australia,AUS,2016,40
Australia,AUS,2017,39
Australia,AUS,2018,39
Australia,AUS,2019,40
Austria,AUT,2015,3
Austria,AUT,2016,3
Austria,AUT,2017,4
Austria,AUT,2018,3
Austria,AUT,2019,3
Azerbaijan,AZE,2015,75
Azerbaijan,AZE,2016,72
Azerbaijan,AZE,2017,68
Azerbaijan,AZE,2018,64
Azerbaijan,AZE,2019,60
Bahamas,BHS,2015,3
Bahamas,BHS,2016,3
Bahamas,BHS,2017,3
Bahamas,BHS,2018,3
Bahamas,BHS,2019,3
Bahrain,BHR,2015,5
Bahrain,BHR,2016,6
Bahrain,BHR,2017,6
Bahrain,BHR,2018,6
Bahrain,BHR,2019,6
Bangladesh,BGD,2015,26866
Bangladesh,BGD,2016,27599
Bangladesh,BGD,2017,28727
Bangladesh,BGD,2018,28336
Bangladesh,BGD,2019,28158
Barbados,BRB,2015,3
Barbados,BRB,2016,3
Barbados,BRB,2017,3
Barbados,BRB,2018,3
Barbados,BRB,2019,3
Belarus,BLR,2015,5
Belarus,BLR,2016,5
Belarus,BLR,2017,5
Belarus,BLR,2018,4
Belarus,BLR,2019,4
Belgium,BEL,2015,29
Belgium,BEL,2016,29
Belgium,BEL,2017,28
Belgium,BEL,2018,28
Belgium,BEL,2019,28
Belize,BLZ,2015,9
Belize,BLZ,2016,9
Belize,BLZ,2017,9
Belize,BLZ,2018,9
Belize,BLZ,2019,9
Benin,BEN,2015,5015
Benin,BEN,2016,5051
Benin,BEN,2017,5077
Benin,BEN,2018,4607
Benin,BEN,2019,4408
Bermuda,BMU,2015,0
Bermuda,BMU,2016,0
Bermuda,BMU,2017,0
Bermuda,BMU,2018,0
Bermuda,BMU,2019,0
Bhutan,BTN,2015,82
Bhutan,BTN,2016,81
Bhutan,BTN,2017,80
Bhutan,BTN,2018,77
Bhutan,BTN,2019,75
Bolivia,BOL,2015,526
Bolivia,BOL,2016,478
Bolivia,BOL,2017,470
Bolivia,BOL,2018,452
Bolivia,BOL,2019,439
Bosnia and Herzegovina,BIH,2015,3
Bosnia and Herzegovina,BIH,2016,3
Bosnia and Herzegovina,BIH,2017,3
Bosnia and Herzegovina,BIH,2018,3
Bosnia and Herzegovina,BIH,2019,3
Botswana,BWA,2015,435
Botswana,BWA,2016,421
Botswana,BWA,2017,420
Botswana,BWA,2018,407
Botswana,BWA,2019,398
Brazil,BRA,2015,4693
Brazil,BRA,2016,4605
Brazil,BRA,2017,4465
Brazil,BRA,2018,4375
Brazil,BRA,2019,4309
Brunei,BRN,2015,1
Brunei,BRN,2016,1
Brunei,BRN,2017,1
Brunei,BRN,2018,1
Brunei,BRN,2019,1
Bulgaria,BGR,2015,10
Bulgaria,BGR,2016,10
Bulgaria,BGR,2017,9
Bulgaria,BGR,2018,9
Bulgaria,BGR,2019,9
Burkina Faso,BFA,2015,12602
Burkina Faso,BFA,2016,13110
Burkina Faso,BFA,2017,13557
Burkina Faso,BFA,2018,13357
Burkina Faso,BFA,2019,12948
Burundi,BDI,2015,8343
Burundi,BDI,2016,7937
Burundi,BDI,2017,7782
Burundi,BDI,2018,8130
Burundi,BDI,2019,8097
Cambodia,KHM,2015,1485
Cambodia,KHM,2016,1450
Cambodia,KHM,2017,1439
Cambodia,KHM,2018,1382
Cambodia,KHM,2019,1333
Cameroon,CMR,2015,17657
Cameroon,CMR,2016,18064
Cameroon,CMR,2017,17517
Cameroon,CMR,2018,16156
Cameroon,CMR,2019,15130
Canada,CAN,2015,58
Canada,CAN,2016,58
Canada,CAN,2017,57
Canada,CAN,2018,59
Canada,CAN,2019,59
Cape Verde,CPV,2015,38
Cape Verde,CPV,2016,38
Cape Verde,CPV,2017,37
Cape Verde,CPV,2018,39
Cape Verde,CPV,2019,36
Central African Republic,CAF,2015,7403
Central African Republic,CAF,2016,7589
Central African Republic,CAF,2017,7682
Central African Republic,CAF,2018,7470
Central African Republic,CAF,2019,7366
Chad,TCD,2015,26604
Chad,TCD,2016,26757
Chad,TCD,2017,27131
Chad,TCD,2018,26666
Chad,TCD,2019,26457
Chile,CHL,2015,111
Chile,CHL,2016,109
Chile,CHL,2017,110
Chile,CHL,2018,111
Chile,CHL,2019,111
China,CHN,2015,3963
China,CHN,2016,4055
China,CHN,2017,3830
China,CHN,2018,3454
China,CHN,2019,3270
Colombia,COL,2015,518
Colombia,COL,2016,514
Colombia,COL,2017,517
Colombia,COL,2018,524
Colombia,COL,2019,528
Comoros,COM,2015,266
Comoros,COM,2016,259
Comoros,COM,2017,256
Comoros,COM,2018,238
Comoros,COM,2019,226
Congo,COG,2015,1940
Congo,COG,2016,1813
Congo,COG,2017,1742
Congo,COG,2018,1635
Congo,COG,2019,1561
Cook Islands,COK,2015,0
Cook Islands,COK,2016,0
Cook Islands,COK,2017,0
Cook Islands,COK,2018,0
Cook Islands,COK,2019,0
Costa Rica,CRI,2015,54
Costa Rica,CRI,2016,56
Costa Rica,CRI,2017,55
Costa Rica,CRI,2018,55
Costa Rica,CRI,2019,55
Cote d'Ivoire,CIV,2015,8198
Cote d'Ivoire,CIV,2016,7692
Cote d'Ivoire,CIV,2017,7229
Cote d'Ivoire,CIV,2018,6741
Cote d'Ivoire,CIV,2019,6214
Croatia,HRV,2015,9
Croatia,HRV,2016,10
Croatia,HRV,2017,9
Croatia,HRV,2018,8
Croatia,HRV,2019,8
Cuba,CUB,2015,205
Cuba,CUB,2016,196
Cuba,CUB,2017,205
Cuba,CUB,2018,205
Cuba,CUB,2019,199
Cyprus,CYP,2015,1
Cyprus,CYP,2016,1
Cyprus,CYP,2017,1
Cyprus,CYP,2018,1
Cyprus,CYP,2019,1
Czechia,CZE,2015,73
Czechia,CZE,2016,73
Czechia,CZE,2017,70
Czechia,CZE,2018,62
Czechia,CZE,2019,57
Democratic Republic of Congo,COD,2015,41961
Democratic Republic of Congo,COD,2016,38710
Democratic Republic of Congo,COD,2017,35294
Democratic Republic of Congo,COD,2018,31932
Democratic Republic of Congo,COD,2019,29153
Denmark,DNK,2015,10
Denmark,DNK,2016,10
Denmark,DNK,2017,10
Denmark,DNK,2018,10
Denmark,DNK,2019,10
Djibouti,DJI,2015,281
Djibouti,DJI,2016,284
Djibouti,DJI,2017,284
Djibouti,DJI,2018,274
Djibouti,DJI,2019,264
Dominica,DMA,2015,1
Dominica,DMA,2016,1
Dominica,DMA,2017,1
Dominica,DMA,2018,1
Dominica,DMA,2019,1
Dominican Republic,DOM,2015,498
Dominican Republic,DOM,2016,499
Dominican Republic,DOM,2017,469
Dominican Republic,DOM,2018,458
Dominican Republic,DOM,2019,450
East Asia & Pacific (WB),,2015,81826
East Asia & Pacific (WB),,2016,80237
East Asia & Pacific (WB),,2017,79175
East Asia & Pacific (WB),,2018,76451
East Asia & Pacific (WB),,2019,74574
Eastern Mediterranean Region (WHO),,2015,115667
Eastern Mediterranean Region (WHO),,2016,112844
Eastern Mediterranean Region (WHO),,2017,111831
Eastern Mediterranean Region (WHO),,2018,104337
Eastern Mediterranean Region (WHO),,2019,100378
Ecuador,ECU,2015,278
Ecuador,ECU,2016,274
Ecuador,ECU,2017,275
Ecuador,ECU,2018,274
Ecuador,ECU,2019,276
Egypt,EGY,2015,5137
Egypt,EGY,2016,4476
Egypt,EGY,2017,4036
Egypt,EGY,2018,3635
Egypt,EGY,2019,3322
El Salvador,SLV,2015,231
El Salvador,SLV,2016,226
El Salvador,SLV,2017,224
El Salvador,SLV,2018,221
El Salvador,SLV,2019,221
England,,2015,33
England,,2016,31
England,,2017,30
England,,2018,32
England,,2019,32
Equatorial Guinea,GNQ,2015,103
Equatorial Guinea,GNQ,2016,101
Equatorial Guinea,GNQ,2017,100
Equatorial Guinea,GNQ,2018,97
Equatorial Guinea,GNQ,2019,97
Eritrea,ERI,2015,4017
Eritrea,ERI,2016,3960
Eritrea,ERI,2017,3883
Eritrea,ERI,2018,3714
Eritrea,ERI,2019,3621
Estonia,EST,2015,1
Estonia,EST,2016,1
Estonia,EST,2017,1
Estonia,EST,2018,1
Estonia,EST,2019,1
Eswatini,SWZ,2015,448
Eswatini,SWZ,2016,429
Eswatini,SWZ,2017,423
Eswatini,SWZ,2018,407
Eswatini,SWZ,2019,396
Ethiopia,ETH,2015,48242
Ethiopia,ETH,2016,47271
Ethiopia,ETH,2017,47736
Ethiopia,ETH,2018,45711
Ethiopia,ETH,2019,43174
Europe & Central Asia (WB),,2015,2583
Europe & Central Asia (WB),,2016,2502
Europe & Central Asia (WB),,2017,2409
Europe & Central Asia (WB),,2018,2322
Europe & Central Asia (WB),,2019,2248
European Region (WHO),,2015,2599
European Region (WHO),,2016,2517
European Region (WHO),,2017,2424
European Region (WHO),,2018,2337
European Region (WHO),,2019,2263
Fiji,FJI,2015,74
Fiji,FJI,2016,72
Fiji,FJI,2017,71
Fiji,FJI,2018,69
Fiji,FJI,2019,68
Finland,FIN,2015,1
Finland,FIN,2016,1
Finland,FIN,2017,1
Finland,FIN,2018,1
Finland,FIN,2019,1
France,FRA,2015,76
France,FRA,2016,78
France,FRA,2017,81
France,FRA,2018,85
France,FRA,2019,88
G20,,2015,624877
G20,,2016,601935
G20,,2017,602728
G20,,2018,590294
G20,,2019,576491
Gabon,GAB,2015,234
Gabon,GAB,2016,223
Gabon,GAB,2017,216
Gabon,GAB,2018,201
Gabon,GAB,2019,192
Gambia,GMB,2015,468
Gambia,GMB,2016,481
Gambia,GMB,2017,509
Gambia,GMB,2018,477
Gambia,GMB,2019,460
Georgia,GEO,2015,10
Georgia,GEO,2016,9
Georgia,GEO,2017,8
Georgia,GEO,2018,8
Georgia,GEO,2019,7
Germany,DEU,2015,117
Germany,DEU,2016,115
Germany,DEU,2017,110
Germany,DEU,2018,107
Germany,DEU,2019,106
Ghana,GHA,2015,6669
Ghana,GHA,2016,6603
Ghana,GHA,2017,6579
Ghana,GHA,2018,5926
Ghana,GHA,2019,5599
Greece,GRC,2015,1
Greece,GRC,2016,1
Greece,GRC,2017,1
Greece,GRC,2018,1
Greece,GRC,2019,1
Greenland,GRL,2015,0
Greenland,GRL,2016,0
Greenland,GRL,2017,0
Greenland,GRL,2018,0
Greenland,GRL,2019,0
Grenada,GRD,2015,1
Grenada,GRD,2016,1
Grenada,GRD,2017,1
Grenada,GRD,2018,1
Grenada,GRD,2019,1
Guam,GUM,2015,3
Guam,GUM,2016,3
Guam,GUM,2017,3
Guam,GUM,2018,3
Guam,GUM,2019,4
Guatemala,GTM,2015,2174
Guatemala,GTM,2016,2149
Guatemala,GTM,2017,2063
Guatemala,GTM,2018,2041
Guatemala,GTM,2019,2027
Guinea,GIN,2015,6531
Guinea,GIN,2016,6467
Guinea,GIN,2017,6355
Guinea,GIN,2018,5965
Guinea,GIN,2019,5562
Guinea-Bissau,GNB,2015,1311
Guinea-Bissau,GNB,2016,1317
Guinea-Bissau,GNB,2017,1258
Guinea-Bissau,GNB,2018,1119
Guinea-Bissau,GNB,2019,1053
Guyana,GUY,2015,52
Guyana,GUY,2016,51
Guyana,GUY,2017,50
Guyana,GUY,2018,50
Guyana,GUY,2019,49
Haiti,HTI,2015,3972
Haiti,HTI,2016,4233
Haiti,HTI,2017,3787
Haiti,HTI,2018,3628
Haiti,HTI,2019,3502
Honduras,HND,2015,888
Honduras,HND,2016,861
Honduras,HND,2017,837
Honduras,HND,2018,807
Honduras,HND,2019,779
Hungary,HUN,2015,86
Hungary,HUN,2016,79
Hungary,HUN,2017,75
Hungary,HUN,2018,66
Hungary,HUN,2019,59
Iceland,ISL,2015,0
Iceland,ISL,2016,0
Iceland,ISL,2017,0
Iceland,ISL,2018,0
Iceland,ISL,2019,0
India,IND,2015,549684
India,IND,2016,528733
India,IND,2017,530729
India,IND,2018,520537
India,IND,2019,508290
Indonesia,IDN,2015,50085
Indonesia,IDN,2016,48824
Indonesia,IDN,2017,48327
Indonesia,IDN,2018,46887
Indonesia,IDN,2019,45774
Iran,IRN,2015,594
Iran,IRN,2016,564
Iran,IRN,2017,550
Iran,IRN,2018,528
Iran,IRN,2019,511
Iraq,IRQ,2015,532
Iraq,IRQ,2016,472
