Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,,Mean
Monaco,MCO,GDP per capita (current US$),NY.GDP.PCAP.CD,165989.5051,170028.6557,167517.0597,185978.6093,189487.1471,,175800.1954
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,167313.2663,165642.3863,171253.9643,176499.4026,169049.1569,,169951.6352
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,105462.0126,106899.2935,110193.2138,117254.7404,113218.7133,,110605.5947
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,,109983.1977
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,85126.97047,82197.12677,83477.83429,89112.66772,86481.55259,,85279.23037
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,,84584.88706
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,76284.1943,78471.62814,81513.16283,86180.53969,91513.04267,,82792.51353
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,74818.94813,73545.75824,81019.47377,87526.07999,86197.36569,,80621.52516
Norway,NOR,GDP per capita (current US$),NY.GDP.PCAP.CD,74355.51586,70460.56053,75496.75406,82267.80932,75719.7529,,75660.07853
Ireland,IRL,GDP per capita (current US$),NY.GDP.PCAP.CD,62012.48493,62861.63912,69774.02897,79107.60499,80886.61574,,70928.47475
Iceland,ISL,GDP per capita (current US$),NY.GDP.PCAP.CD,52951.68151,61987.92636,72010.14903,74469.80406,68941.46223,,66072.20464
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,63039.11263,57162.96801,59124.86727,65907.94843,62087.97413,,61464.57409
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,55646.61875,56860.41324,61150.7272,66859.33834,65831.18943,,61269.65739
Faroe Islands,FRO,GDP per capita (current US$),NY.GDP.PCAP.CD,53310.26201,58224.80551,61455.05261,65572.60753,67153.68194,,61143.28192
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,56762.72945,57866.74493,59914.7778,62805.25376,65094.79943,,60488.86107
North America,NAC,GDP per capita (current US$),NY.GDP.PCAP.CD,55452.42138,56312.43488,58430.1986,61158.56356,63175.74013,,58905.87171
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,53254.85637,54663.99837,57610.09818,61591.92887,59775.7351,,57379.32338
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596,,54515.82026
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51545.48361,51965.15715,53791.50873,54589.06039,51939.42974,,52766.12792
Greenland,GRL,GDP per capita (current US$),NY.GDP.PCAP.CD,44536.40131,48181.87419,50766.59942,54545.29998,53256.24409,,50257.2838
Netherlands,NLD,GDP per capita (current US$),NY.GDP.PCAP.CD,45193.40322,46039.10593,48675.22234,53044.53244,52476.27325,,49085.70743
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,44195.81759,45307.58786,47429.15846,51486.5755,50114.40111,,47706.7081
Finland,FIN,GDP per capita (current US$),NY.GDP.PCAP.CD,42801.90812,43814.02651,46412.13648,49988.91085,48628.64176,,46329.12474
"Hong Kong SAR, China",HKG,GDP per capita (current US$),NY.GDP.PCAP.CD,42431.88828,43733.91636,46160.42979,48537.56689,48356.0635,,45843.97297
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,42662.90241,43828.23155,45399.02898,48996.59299,47727.13489,,45722.77816
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,,44783.69576
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,41103.25644,42136.12079,44652.58917,47973.60762,46794.89929,,44532.09466
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41008.29672,42012.62272,44198.48239,47549.20805,46599.11134,,44273.54424
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,40669.04208,41401.37787,42995.85935,45413.55092,45728.10123,,43241.58629
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,45404.56777,41499.5557,40857.75558,43646.95197,43070.49836,,42895.86588
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,39847.26178,40475.17746,42118.2044,44571.43358,44774.77502,,42357.37045
New Zealand,NZL,GDP per capita (current US$),NY.GDP.PCAP.CD,38630.72659,40058.19616,42924.9956,43250.44097,42865.23364,,41545.91859
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,38663.38826,38141.87689,40644.79119,43839.32449,42701.44305,,40798.16477
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,35808.43643,37330.2618,40774.12961,42063.45313,43951.24773,,39985.50574
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,35770.91865,37474.74584,38964.66201,41793.31884,40898.41791,,38980.41265
France,FRA,GDP per capita (current US$),NY.GDP.PCAP.CD,36652.92231,37062.53357,38781.04949,41592.7959,40578.64429,,38933.58911
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,,38671.05679
OECD members,OED,GDP per capita (current US$),NY.GDP.PCAP.CD,35590.73172,36037.76772,37377.57018,39306.7924,39478.31197,,37558.2348
Euro area,EMU,GDP per capita (current US$),NY.GDP.PCAP.CD,34388.28378,35163.47243,37154.48194,40059.18248,39195.77483,,37192.23909
Guam,GUM,GDP per capita (current US$),NY.GDP.PCAP.CD,35829.25036,36214.00692,36601.91988,36556.67491,38040.58699,,36648.48781
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,34007.35294,35324.97489,35365.0693,36653.86305,38596.03071,,35989.45818
