Entity,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number)
Bermuda,BMU,2015,0,0
Bermuda,BMU,2016,0,0
Bermuda,BMU,2017,0,0
Bermuda,BMU,2018,0,0
Bermuda,BMU,2019,0,0
Luxembourg,LUX,2015,0,0
Luxembourg,LUX,2016,0,0
Luxembourg,LUX,2017,0,0
Luxembourg,LUX,2018,0,0
Luxembourg,LUX,2019,0,0
Monaco,MCO,2015,0,0
Monaco,MCO,2016,0,0
Monaco,MCO,2017,0,0
Monaco,MCO,2018,0,0
Monaco,MCO,2019,0,0
Norway,NOR,2015,0,0
Norway,NOR,2016,0,0
Norway,NOR,2017,0,0
Norway,NOR,2018,0,0
Norway,NOR,2019,0,0
Switzerland,CHE,2015,0,0
Switzerland,CHE,2016,0,0
Switzerland,CHE,2017,0,0
Switzerland,CHE,2018,0,0
Switzerland,CHE,2019,0,0
