Country Name,Country Code,2015,2016,2017,2018,2019
Aruba,ABW,2963128492,2983798883,3092178771,3202234637,3310055866
Africa Eastern and Southern,AFE,9.24253E+11,8.82355E+11,1.02065E+12,9.91022E+11,9.97534E+11
Afghanistan,AFG,19134211764,18116562465,18753469630,18053228579,18799450743
Africa Western and Central,AFW,7.60734E+11,6.90546E+11,6.83749E+11,7.4169E+11,7.94543E+11
Angola,AGO,87219290029,49840494026,68972763787,77792940077,69309104807
Albania,ALB,11386850130,11861199831,13019689337,15156432310,15401830754
Andorra,AND,2789881259,2896610480,3000162081,3218419897,3155149348
Arab World,ARB,2.5187E+12,2.49586E+12,2.5841E+12,2.78588E+12,2.8081E+12
United Arab Emirates,ARE,3.58135E+11,3.57045E+11,3.85606E+11,4.22215E+11,4.17216E+11
Argentina,ARG,5.94749E+11,5.57531E+11,6.43629E+11,5.2482E+11,4.52818E+11
Armenia,ARM,10553337673,10546135160,11527458566,12457941907,13619291361
American Samoa,ASM,673000000,671000000,612000000,639000000,648000000
Antigua and Barbuda,ATG,1336692593,1436585185,1467977778,1605944444,1687533333
Australia,AUS,1.35053E+12,1.20669E+12,1.32688E+12,1.42853E+12,1.39195E+12
Austria,AUT,3.81971E+11,3.95837E+11,4.17261E+11,4.55168E+11,4.45012E+11
Azerbaijan,AZE,53074370486,37867518957,40865558912,47112941176,48174235294
Burundi,BDI,3104003611,2639321196,2712324087,2660123624,2581268126
Belgium,BEL,4.62336E+11,4.76063E+11,5.02765E+11,5.43347E+11,5.35376E+11
Benin,BEN,11388160958,11821066153,12701654743,14262407011,14391686633
Burkina Faso,BFA,11832159276,12833363370,14106956830,15890065020,16178162030
Bangladesh,BGD,1.95079E+11,2.65236E+11,2.93755E+11,3.21379E+11,3.51238E+11
Bulgaria,BGR,50781996713,53953897624,59199447421,66363422450,68915416142
Bahrain,BHR,31050638298,32234973404,35473776596,37802005319,38653318085
"Bahamas, The",BHS,11861900000,11834600000,12357600000,12755800000,13192800000
Bosnia and Herzegovina,BIH,16219819344,16914287593,18079076427,20177422311,20201323283
Belarus,BLR,56454734397,47722657821,54726595249,60031262269,64409647194
Belize,BLZ,1734320479,1796928937,1844906693,1887465218,1945250236
Bermuda,BMU,6654541000,6899911000,7142316000,7225977000,7423465000
Bolivia,BOL,33000198249,33941126194,37508642171,40287647931,40895322851
Brazil,BRA,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12
Barbados,BRB,4724691213,4832811756,4981588900,5097283213,5304164323
Brunei Darussalam,BRN,12930394938,11400854268,12128104859,13567351175,13469422959
Bhutan,BTN,2003598213,2158972129,2450364928,2446866405,2535657069
Botswana,BWA,13578754072,15082578065,16088437675,16914245098,16695925027
Central African Republic,CAF,1695825708,1825018191,2072349974,2220978978,2221301401
Canada,CAN,1.55651E+12,1.52799E+12,1.64927E+12,1.72533E+12,1.74202E+12
Central Europe and the Baltics,CEB,1.29306E+12,1.32156E+12,1.46453E+12,1.64546E+12,1.67386E+12
Switzerland,CHE,7.0215E+11,6.95601E+11,7.04479E+11,7.35539E+11,7.31767E+11
Channel Islands,CHI,,,,,
Chile,CHL,2.42497E+11,2.49299E+11,2.76365E+11,2.95403E+11,2.78585E+11
United States,USA,1.8206E+13,1.86951E+13,1.94796E+13,2.05272E+13,2.13726E+13
Cote d'Ivoire,CIV,45814637971,47964234560,51588158718,58011466451,58539424930
Cameroon,CMR,32210232912,33814337900,36098550142,39973839065,39670977333
"Congo, Dem. Rep.",COD,37917704900,37134799975,38019265626,47568210068,51775830726
