Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Afghanistan,AFG,2015,4053,1265,1356,4598,69,480,338,3238,314,556.01
Afghanistan,AFG,2016,3952,1227,1316,4483,68,463,327,3142,297,512.01
Afghanistan,AFG,2017,3908,1209,1290,4437,67,461,325,3095,285,516.68
Afghanistan,AFG,2018,3345,1031,1099,3807,55,401,283,2641,238,485.67
Afghanistan,AFG,2019,3139,963,1004,3568,53,368,261,2466,220,494.18
Albania,ALB,2015,1,0,0,1,0,0,0,0,0,"3,952.80"
Albania,ALB,2016,1,0,0,1,0,0,0,0,0,"4,124.06"
Albania,ALB,2017,1,0,0,1,0,0,0,0,0,"4,531.02"
Albania,ALB,2018,1,0,0,1,0,0,0,0,0,"5,287.66"
Albania,ALB,2019,1,0,0,1,0,0,0,0,0,"5,396.22"
Algeria,DZA,2015,229,26,94,174,1,20,16,62,2,"4,177.89"
Algeria,DZA,2016,220,24,91,165,1,19,16,57,2,"3,946.45"
Algeria,DZA,2017,207,23,85,154,1,19,16,52,2,"4,109.70"
Algeria,DZA,2018,197,21,80,143,1,18,15,46,2,"4,142.02"
Algeria,DZA,2019,187,20,75,134,1,18,15,41,1,"3,989.67"
American Samoa,ASM,2015,0,0,0,0,0,0,0,0,0,"12,059.64"
American Samoa,ASM,2016,0,0,0,0,0,0,0,0,0,"12,038.25"
American Samoa,ASM,2017,0,0,0,0,0,0,0,0,0,"11,003.83"
American Samoa,ASM,2018,0,0,0,0,0,0,0,0,0,"11,521.61"
American Samoa,ASM,2019,0,0,0,0,0,0,0,0,0,"11,715.36"
Andorra,AND,2015,0,0,0,0,0,0,0,0,0,"35,770.92"
Andorra,AND,2016,0,0,0,0,0,0,0,0,0,"37,474.75"
Andorra,AND,2017,0,0,0,0,0,0,0,0,0,"38,964.66"
Andorra,AND,2018,0,0,0,0,0,0,0,0,0,"41,793.32"
Andorra,AND,2019,0,0,0,0,0,0,0,0,0,"40,898.42"
Angola,AGO,2015,8114,3493,2153,9357,84,386,304,6177,435,"3,127.89"
Angola,AGO,2016,7222,3116,1924,8343,75,350,278,5435,365,"1,728.02"
Angola,AGO,2017,6700,2895,1789,7758,70,333,268,4975,319,"2,313.22"
Angola,AGO,2018,5737,2480,1541,6648,60,289,234,4195,263,"2,524.94"
Angola,AGO,2019,5275,2279,1414,6112,56,261,213,3810,235,"2,177.80"
Antigua and Barbuda,ATG,2015,0,0,0,0,0,0,0,0,0,"14,285.33"
Antigua and Barbuda,ATG,2016,0,0,0,0,0,0,0,0,0,"15,198.74"
